Time (s),Mass Flow Rate Fuel (lb/s),OF Ratio,C* (ft/s),Gamma,Chamber Pressure (psi),Cf0,Thrust Coefficient,Thrust (lbf),Isp (s),Burn Rate (ft/s),Port Radius (in)
47.6,0.009629249333106835,2.4780858500654657,5772.947938045332,1.1282007376731973,10.201420990392167,1.2994147053102498,1.3608865336555962,282.82167383578764,20.34790755861366,0.0006589198311242333,0.2791064765828163
47.7,0.009626407630376723,2.478817377712743,5772.711982843454,1.1281841680958646,10.200138488758437,1.2994174254314275,1.3608969828600963,282.7882893753474,20.347232116995546,0.0006591317115839879,0.2791723685659287
47.800000000000004,0.009623572226014811,2.479547714581432,5772.476301076739,1.1281676561069527,10.198858459306523,1.2994201363135722,1.360907409865032,282.7549682957154,20.346557294497863,0.0006593436782883287,0.2792382817370871
47.900000000000006,0.009620743094006753,2.4802768648909543,5772.240892359548,1.1281512014305364,10.197580893074482,1.299422837999762,1.3609178147570324,282.7217103697359,20.34588309111924,0.0006595557312797346,0.2793042161049159
48.0,0.009617920208495247,2.4810048328377294,5772.005756305406,1.1281348037924737,10.196305781148784,1.2994255305328009,1.3609281976222285,282.6885153714686,20.345209506847564,0.0006597678706007095,0.2793701716780439
48.1,0.009615103543778791,2.4817316225953427,5771.770892527,1.1281184629203915,10.195033114663923,1.299428213955224,1.36093855854626,282.6553830761797,20.344536541660073,0.0006599800962937811,0.27943614846510395
48.2,0.009612293074310448,2.4824572383147143,5771.536300636246,1.1281021785436707,10.19376288480214,1.299430888309301,1.3609488976142794,282.62231326033486,20.343864195523686,0.0006601924084015025,0.2795021464747333
48.300000000000004,0.009609488774696627,2.4831816841242627,5771.301980244263,1.128085950393431,10.192495082792995,1.2994335536370376,1.360959214910956,282.5893057015886,20.343192468394914,0.0006604048069664512,0.27956816571557347
48.400000000000006,0.009606690619695876,2.483904964130071,5771.067930961433,1.128069778202519,10.19122969991309,1.2994362099801737,1.3609695105204753,282.55636017877674,20.342521360220132,0.000660617292031229,0.2796342061962701
48.5,0.009603898584217669,2.484627082416049,5770.8341523974095,1.1280536617054913,10.189966727485693,1.299438857380193,1.36097978452655,282.52347647190845,20.341850870935723,0.0006608298636384626,0.27970026792547326
